Response_ID,Group_ID,Group,Statement,Optimist,Hopeful,Curious,Neutral,Cautious,Skeptical,Pessimist,Op_hop,Op_cur,Op_cau,Op_skep,Op_pess,Hop_cur,Hop_neu,Hop_cau,Hop_skep,Hop_pess,Cur_neu,Cur_cau,Cur_skep,Cur_pess,Cau_neu,Cau_skep,Cau_pess,Skep_neu,Skep_pess,Op_cur_cau,Hop_cur_cau,Hop_cau_skep,Cau_skep_neu,PA,Pos_emotion,NA,Neg_emotion,HomeOwner,Involvement,Choice,INNOV,RET,ENV,SUM_INN_RET_ENV,Age,Gender,Education,Income,Occupants,HomeType,Region,Region_recoded,Area,SubjKnow,Know_recoded,BoilerWilling,HobWilling,H2homeWilling,Composite_adoption,H2futures,H2community,H2home,Composite_acceptance,Response
R285,BLG285,1,More cost should be met by government and energy companies.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,3,1,3,0,0,3,3,1,3,6,3,2,10,2,4,1,1,1,1,1,1,0,1,1,0.67,3
R286,BLG286,1,More facts needed.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,3,2,2,2,2,6,3,1,5,5,1,2,5,4,3,1,1,3,3,3,3,6,6,6,6,3
R287,BLG287,1,More information needed really.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,3,2,3,3,3,9,3,1,5,5,1,4,6,4,3,2,2,2,2,2,2,6,6,7,6.33,4
R288,BLG288,1,More positive.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Positive,.,,2,1,1,3,2,3,8,1,2,3,3,3,5,4,3,1,2,2,3,3,2,2.67,8,6,2,5.33,1
R289,BLG289,1,More positive after this.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Positive,.,,2,2,2,3,3,3,9,2,2,5,4,3,2,10,2,5,2,2,2,2,2,2,4,4,6,4.67,2
R290,BLG290,1,Much more eco friendly,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,1,1,3,3,3,9,2,1,4,3,3,2,2,2,3,2,2,5,5,5,5,9,10,10,9.67,3
R291,BLG291,1,"My main concerns are with our government completely taking advantage of this situation to increase energy bills more than ever. It's not that I'm against greener energy or renewable energy, but if we still have a Tory government in power for years to come, then I'll be very skeptical that they'll make any effort to use this whole situation to the general public's advantage.",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,1,Concerned,1,3,3,2,2,0,4,2,1,3,2,3,1,8,3,3,1,1,2,2,2,2,3,3,3,3,2
R292,BLG292,1,Need more info.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,2,2,2,2,3,7,2,2,4,6,3,1,6,4,5,1,1,2,2,2,2,5,6,5,5.33,3
R293,BLG293,1,Need to find out more about it and the costs.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,2,2,3,3,3,9,2,2,5,6,3,2,8,3,5,1,1,3,3,3,3,8,7,8,7.67,2
R294,BLG294,1,Need to know more information.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,2,2,3,3,3,9,2,2,5,8,3,5,5,4,3,1,1,3,3,3,3,4,5,5,4.67,3
R295,BLG295,1,Need to understand more about it.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,1,1,2,2,1,5,2,2,1,5,2,4,5,4,1,1,1,2,2,2,2,5,5,5,5,3
R296,BLG296,1,Needed for the future.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,1,1,2,3,3,8,3,2,3,3,2,2,1,1,3,1,1,2,2,2,2,7,7,7,7,3
R297,BLG297,1,"Neither am I agreeing or disagreeing to it, I have no further attitude towards it.",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,1,2,2,3,3,8,1,2,4,2,3,4,4,3,1,2,2,3,2,3,2.67,1,1,5,2.33,3
R298,BLG298,1,Neutral.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,2,2,3,3,3,9,2,2,4,5,3,4,8,3,5,2,2,2,2,2,2,4,5,5,4.67,4
R299,BLG299,1,Neutral.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,3,3,3,3,3,9,2,1,5,5,1,4,9,1,3,1,1,3,3,3,3,5,5,5,5,6
R300,BLG300,1,New sources of energy appear to be expensive and unreliable.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,3,3,1,0,0,1,3,1,1,8,1,4,3,2,3,1,1,1,1,1,1,5,3,2,3.33,7
R301,BLG301,1,No feelings.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,3,3,3,1,3,7,3,2,4,5,1,4,3,2,5,1,1,3,3,3,3,6,8,6,6.67,3
R302,BLG302,1,No particular views.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,2,2,2,1,0,3,2,2,1,1,3,4,8,3,4,1,1,1,1,1,1,3,3,1,2.33,5
R303,BLG303,1,No real opinion until it happens.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,3,3,3,3,3,9,2,1,5,5,1,4,3,2,3,2,2,2,2,2,2,5,5,5,5,5
R304,BLG304,1,Not enough knowledge.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,1,1,3,3,3,9,2,2,3,6,2,4,2,2,3,1,1,2,2,2,2,5,6,5,5.33,7
R305,BLG305,1,Not enough known.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,3,3,2,2,3,7,2,2,4,2,3,5,1,1,5,2,2,1,1,1,1,2,3,4,3,7
R306,BLG306,1,Not heard about it before today. Interesting concept.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,1,1,3,0,3,6,3,1,3,4,3,2,2,2,5,1,1,3,3,3,3,7,7,7,7,7
R307,BLG307,1,Not heard much about hydrogen apart from powering buses and trucks before; heard more about heat pumps.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,1,1,3,2,2,7,1,1,5,4,3,2,2,2,3,1,1,1,1,2,1.33,5,3,4,4,2
R308,BLG308,1,Not really fussed.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,2,1,2,2,3,7,2,2,1,8,3,4,2,2,5,1,1,2,2,2,2,1,3,3,2.33,1
R309,BLG309,1,Not really informed to add any further comment.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,3,2,3,3,2,8,2,1,4,6,3,4,11,4,3,1,1,3,4,3,3.33,8,8,7,7.67,1
R310,BLG310,1,"Not seen anything in media, so unsure it will happen anytime soon.",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,2,2,3,3,3,9,2,1,3,4,3,2,2,2,5,1,1,3,3,3,3,6,6,6,6,4
R311,BLG311,1,Not something I know about.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,2,1,2,2,2,6,2,2,5,5,3,2,10,2,3,1,1,1,1,1,1,4,4,4,4,4
R312,BLG312,1,Not sure 2030 is achievable.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,2,1,3,2,3,8,2,2,1,5,3,1,8,3,4,1,1,2,2,2,2,5,5,5,5,4
R313,BLG313,1,Not sure it’s a good idea.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,2,2,3,2,3,8,1,1,3,2,3,5,6,4,4,2,2,2,2,2,2,5,8,7,6.67,4
R314,BLG314,1,Not sure it’s safe.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,3,3,1,1,1,3,3,2,1,1,2,5,2,2,4,2,2,2,2,2,2,3,3,3,3,1
R315,BLG315,1,Not too excited.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,1,Unexcited,1,3,1,2,1,1,4,1,1,1,6,3,2,7,4,3,1,1,1,1,1,1,3,3,3,3,4
R316,BLG316,1,Not too sure to be honest.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,1,1,3,3,2,8,1,1,3,3,3,2,4,3,4,2,2,3,3,3,3,8,6,9,7.67,1
R317,BLG317,1,Nothing to say about hydrogen but I think is bit dangerous.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,2,2,3,3,3,9,3,1,3,5,2,4,6,4,3,3,3,3,3,3,3,9,8,8,8.33,7
R318,BLG318,1,One of a number of viable options in the energy mix and future security of supplies.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,2,3,3,3,3,9,2,2,1,4,3,2,10,2,4,1,1,3,3,3,3,7,7,7,7,3
R319,BLG319,1,Open minded with it.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,3,1,3,2,2,7,2,1,4,4,3,2,4,3,4,3,3,4,4,4,4,6,8,4,6,7
R320,BLG320,1,Optimistic and hopeful.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Optimistic and hopeful,.,,2,2,1,3,3,3,9,2,1,5,3,3,2,2,2,3,2,2,3,3,3,3,5,5,5,5,7
R321,BLG321,1,Optimistic.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Optimistic,.,,2,1,1,3,3,3,9,3,2,1,8,3,2,8,3,5,2,2,3,3,2,2.67,5,7,8,6.67,3
R322,BLG322,1,Optimistic and positive.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Optimistic and Positive,.,,2,2,2,3,2,2,7,1,2,3,2,3,5,1,1,5,1,1,2,2,2,2,3,7,7,5.67,2
R323,BLG323,1,"People should not be made to pay more for this, it would change my opinion from considering switching to definitely not.",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,,.,,1,2,2,2,1,2,5,1,2,1,4,3,1,4,3,4,1,1,3,3,3,3,5,5,5,5,4
R324,BLG324,1,People shouldn’t have to pay for something if it’s being forced upon them.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,1,2,1,3,2,6,1,1,4,3,3,5,4,3,4,3,3,4,2,2,2.67,9,7,2,6,7
R325,BLG325,1,Positive.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Positive,.,,2,3,2,3,2,2,7,2,1,4,3,3,2,4,3,4,2,2,5,5,5,5,8,8,9,8.33,7
R326,BLG326,1,Positive.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Positive,.,,2,1,2,2,2,3,7,1,2,5,5,2,1,3,2,4,1,1,4,4,4,4,8,7,7,7.33,7
R327,BLG327,1,Positive.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Positive,.,,2,1,1,3,3,2,8,2,1,3,5,3,4,1,1,3,2,2,2,2,2,2,6,5,6,5.67,4
R328,BLG328,1,Positive.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Positive,.,,2,3,2,3,3,3,9,3,1,1,6,3,5,4,3,4,2,2,2,2,2,2,7,7,7,7,1
R329,BLG329,1,Positive.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Positive,.,,1,3,1,2,0,0,2,3,1,1,3,1,5,7,4,3,1,1,1,1,1,1,5,3,3,3.67,1
R330,BLG330,1,Power companies should bear the whole cost rather than consumers.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,3,3,3,2,2,7,3,1,3,3,3,1,5,4,4,1,1,4,4,4,4,9,9,9,9,2
R331,BLG331,1,Progress always marches on. Hydrogen is the right option to choose. Anything that supports the environment is a good thing.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,2,2,2,3,3,8,1,2,5,5,2,4,4,3,3,3,3,2,1,2,1.67,5,6,5,5.33,5
R332,BLG332,1,"Put off the hydrogen boiler due to adding chemicals and dyes to make it smell/look like natural gas. Otherwise, I would be happy to switch to the green boiler/method.",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,3,2,3,3,3,9,3,2,3,7,2,5,1,1,3,2,2,3,3,3,3,5,5,5,5,3
R333,BLG333,1,"Rather confusing need to learn more about it. Price, safety and climate all important.",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,1,Confused,1,1,1,3,1,2,6,1,2,3,3,2,4,8,3,3,1,1,2,2,2,2,5,5,5,5,2
R334,BLG334,1,Reasonable.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,1,1,3,3,3,9,2,2,1,2,1,4,9,1,4,1,1,3,3,3,3,6,4,4,4.67,2
R335,BLG335,1,Safer usage.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,3,1,3,1,2,6,2,2,3,3,3,2,6,4,3,1,1,1,1,1,1,2,2,2,2,6
R336,BLG336,1,Scared as no controls appear to be in place for safety issues.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,1,Scared,1,2,1,3,3,3,9,2,1,1,2,2,5,2,2,3,3,3,1,2,2,1.67,9,3,5,5.67,3
R337,BLG337,1,Scary and unsafe. Too expensive and can't be afforded.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,1,Scared,2,2,1,1,2,2,5,3,2,1,4,3,4,5,4,3,3,3,3,3,3,3,4,3,8,5,3
R338,BLG338,1,Sceptical.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,1,Skeptical,1,2,3,3,3,3,9,2,1,5,5,3,5,11,4,3,2,2,2,2,2,2,6,6,7,6.33,3
R339,BLG339,1,Seeing as big schemes bring big mistakes is my main concern. It's a good energy but installing it across the country is the worrying point.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,1,Worried,2,3,3,3,3,3,9,3,2,3,1,1,2,5,4,4,2,2,2,2,2,2,8,7,6,7,6
R340,BLG340,1,Seems great for the future.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,2,1,2,3,2,7,2,1,5,5,3,2,5,4,3,1,1,2,2,2,2,3,4,4,3.67,3
R341,BLG341,1,Seem like people have to be reassured it is safe.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,3,3,3,3,3,9,1,2,3,2,3,4,10,2,5,1,1,2,2,2,2,7,7,7,7,6
R342,BLG342,1,Seems a good alternative to present forms of energy but would like to see it tried and tested before using myself.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,3,2,3,3,2,8,1,2,4,3,1,1,8,3,1,2,2,3,3,3,3,7,8,6,7,7
R343,BLG343,1,Seems interesting but I still need to understand it better.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,3,2,2,1,2,5,2,2,5,3,1,4,11,4,1,1,1,3,3,3,3,4,4,3,3.67,7
R344,BLG344,1,"Seems like a good idea, but will be costly and a struggle for some people.",.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,3,2,3,3,3,9,3,2,1,2,1,2,6,4,5,1,1,1,1,1,1,7,3,3,4.33,7
R345,BLG345,1,"Seems like a good idea in some aspects, hesitant about the costs for people though.",.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,1,Hesistant,2,3,1,3,2,2,7,2,1,4,4,3,2,4,3,4,2,2,3,3,4,3.33,8,7,7,7.33,7
R346,BLG346,1,Slightly concerned regarding safety.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,1,Concerned,1,2,3,3,1,2,6,3,1,3,5,3,1,9,1,5,2,2,1,1,1,1,5,1,1,2.33,7
R347,BLG347,1,Slightly worried.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,1,Worried,2,2,2,3,3,2,8,2,1,3,4,3,4,11,4,3,3,3,5,5,5,5,8,7,8,7.67,2
R348,BLG348,1,So much uncertainty.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,3,3,3,1,3,7,3,1,1,2,2,5,1,1,5,1,1,3,3,3,3,5,5,5,5,3
R349,BLG349,1,"Sooner the better, but I think the government are too incompetent to speed it up.",.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,2,2,2,3,2,7,1,1,4,3,1,1,11,4,3,3,3,3,3,4,3.33,5,7,8,6.67,7
R350,BLG350,1,Sounds a very good idea but the costs could be high.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,2,2,2,3,3,8,1,2,3,8,3,2,6,4,3,1,1,3,3,3,3,8,8,9,8.33,7
R351,BLG351,1,Sounds good and sensible.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,3,2,3,2,3,8,2,2,5,4,3,2,2,2,3,1,1,4,3,3,3.33,7,6,5,6,1
R352,BLG352,1,Sounds good if not a major expense to homeowners.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,2,2,3,1,3,7,2,2,3,6,3,4,2,2,3,1,1,3,3,3,3,7,7,8,7.33,5
R353,BLG353,1,Sounds good. I’m interested.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,2,2,3,2,2,7,2,2,1,5,3,1,3,2,3,1,1,3,3,3,3,8,8,6,7.33,3
R354,BLG354,1,Sounds hopeful.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Hopeful,.,,2,3,2,2,3,3,8,3,2,1,1,1,4,6,4,4,1,1,3,3,3,3,7,7,7,7,3
R355,BLG355,1,"Sounds like a great plan, although a bit worrying about the costs as everything is so expensive already.",.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,3,1,3,2,3,8,2,2,4,5,1,1,3,2,4,1,1,2,2,2,2,5,5,5,5,3
R356,BLG356,1,Sounds like an interesting topic.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,2,2,3,3,3,9,3,2,3,3,2,2,8,3,3,1,1,2,3,3,2.67,2,2,3,2.33,4
R357,BLG357,1,Sounds like we have not really got this together at all.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,2,2,2,3,3,8,2,1,3,3,3,2,8,3,4,1,1,3,3,3,3,8,8,8,8,6
R358,BLG358,1,"Sounds promising, but in the current financial climate cannot afford the extra costs.",.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,2,2,3,3,3,9,2,1,4,5,3,4,10,2,3,2,2,4,4,4,4,8,8,9,8.33,3
R359,BLG359,1,Sounds very good and should be the future.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,1,1,3,1,3,7,2,2,3,5,3,1,8,3,3,1,1,3,3,3,3,7,6,6,6.33,7
R360,BLG360,1,Step in right direction.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,2,2,3,1,3,7,3,2,3,5,3,5,4,3,3,1,1,3,4,3,3.33,7,7,7,7,1
R361,BLG361,1,Still confused.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,1,Confused,2,3,3,3,2,3,8,1,2,4,4,2,1,4,3,1,1,1,3,3,3,3,7,8,8,7.67,5
R362,BLG362,1,Still confused!,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,1,Confused,2,2,3,3,2,3,8,1,2,5,5,3,4,10,2,4,1,1,2,2,2,2,6,6,5,5.67,7
R363,BLG363,1,Still confusing.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,1,Confused,1,2,2,1,1,2,4,1,2,5,4,3,4,4,3,1,1,1,2,2,3,2.33,3,3,3,3,3
R364,BLG364,1,Still not sure about the idea but have more information about it now.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,2,3,3,1,3,7,2,2,3,2,3,2,2,2,3,1,1,2,2,2,2,5,1,1,2.33,7
R365,BLG365,1,Still quite confused.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,1,Confused,2,2,2,2,2,3,7,2,2,3,5,3,5,8,3,3,2,2,2,2,2,2,2,2,3,2.33,5
R366,BLG366,1,Still unsure and worried about cost and safety.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,,1,Worried,2,2,3,3,3,3,9,3,1,4,6,3,2,4,3,3,2,2,2,2,2,2,5,7,4,5.33,7
R367,BLG367,1,Still unsure about it.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,2,2,3,1,1,5,1,2,3,3,3,4,8,3,3,1,1,2,2,2,2,7,4,4,5,6
R368,BLG368,1,"tbh, spending more of my hard-earned income on specifically hydrogen & converting to use it, is NOT at the top of my priorities. With the current incompetencies in the public sector & wastage, I'm not overly enthusiastic & trusting of such a programme to be carried out in the most cost-effective timely manner.",.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,1,Unenthusiastic,2,3,3,2,1,2,5,1,2,3,5,3,4,9,1,5,1,1,1,1,1,1,1,1,1,1,2
R369,BLG369,1,"The fear of the unknown - we have only ever been used to “normal” gas - therefore the prospect of a new hydrogen gas can be a scary thought when we, as normal working people, don’t know much about how or when this will affect us.",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,1,Fearful,2,3,2,3,2,3,8,1,2,5,5,3,4,2,2,3,1,1,3,3,3,3,6,6,5,5.67,5
R370,BLG370,1,The government should tax corporations properly and use that money to invest in green energy.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,2,2,3,3,3,9,3,1,1,4,3,5,1,1,4,1,1,2,2,2,2,8,5,5,6,3
R371,BLG371,1,"The government should be paying for most of this swap over, as well as energy companies. This is due to the massive profits that these companies make, and no doubt will continue to make.",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,2,2,2,3,3,8,3,1,1,1,2,4,5,4,3,2,2,1,1,1,1,2,2,2,2,2
R372,BLG372,1,The government should pay if you have to make a compulsory change.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,3,1,3,2,3,8,3,2,3,1,1,1,8,3,3,1,1,3,3,3,3,6,6,7,6.33,7
R373,BLG373,1,The word hydrogen is slightly scary because of school learning and dangers of being an undetectable odour and smell. I worry about the storage underground and risk of fire.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,1,Worried,2,3,1,3,3,3,9,3,1,3,4,1,4,10,2,3,2,2,3,3,3,3,6,6,6,6,7
